"Record.ID","Incident.Year","Incident.Month","Incident.Day","Operator.ID","Operator","Aircraft","Aircraft.Type","Aircraft.Make","Aircraft.Model","Aircraft.Mass","Engine.Make","Engine.Model","Engines","Engine.Type","Engine1.Position","Engine2.Position","Engine3.Position","Engine4.Position","Airport.ID","Airport","State","FAA.Region","Warning.Issued","Flight.Phase","Visibility","Precipitation","Height","Speed","Distance","Species.ID","Species.Name","Species.Quantity","Flight.Impact","Fatalities","Injuries","Aircraft.Damage","Radome.Strike","Radome.Damage","Windshield.Strike","Windshield.Damage","Nose.Strike","Nose.Damage","Engine1.Strike","Engine1.Damage","Engine2.Strike","Engine2.Damage","Engine3.Strike","Engine3.Damage","Engine4.Strike","Engine4.Damage","Engine.Ingested","Propeller.Strike","Propeller.Damage","Wing.or.Rotor.Strike","Wing.or.Rotor.Damage","Fuselage.Strike","Fuselage.Damage","Landing.Gear.Strike","Landing.Gear.Damage","Tail.Strike","Tail.Damage","Lights.Strike","Lights.Damage","Other.Strike","Other.Damage"
115907,1996,10,31,"UAL","UNITED AIRLINES","B-757-200","A","148","26",4,NA,"",2,"D","1",1,"",NA,"KTUS","TUCSON INTL","AZ","AWP","","LANDING ROLL","NIGHT","",0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110559,1996,11,1,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","APPROACH","NIGHT","NONE",400,140,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116575,1996,12,14,"ASA","ALASKA AIRLINES","MD-80","A","583","37",4,34,"10",2,"D","5",5,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","","TAKEOFF RUN","DAY","",0,NA,0,"1F12","DOMESTIC DOG","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113438,1996,12,17,"SWA","SOUTHWEST AIRLINES","B-737-200","A","148","24",4,34,"10",2,"D","1",1,"",NA,"KABQ","ALBUQUERQUE INTL SUNPORT","NM","ASW","N","LANDING ROLL","DAY","NONE",0,110,0,"UNKBS","UNKNOWN SMALL BIRD","2-10","NONE",NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115361,1997,1,10,"ROA","RENO AIR","MD-83","A","583","37",4,34,"10",2,"D","5",5,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","N","APPROACH","NIGHT","NONE",200,125,NA,"J21","DUCK","2-10","NONE",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114298,1997,1,10,"BUS","BUSINESS","CL-600","A","188","6",3,7,"43",2,"D","5",5,"",NA,"KROW","ROSWELL INTL AIR CENTER","NM","ASW","N","APPROACH","DAY","NONE",40,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","2-10","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117899,1997,1,23,"ASH","MESA AIRLINES","BE-1900","A","123","27",3,31,"4",2,"C","4",4,"",NA,"KFHU","SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD","AZ","AWP","","TAKEOFF RUN","NIGHT","NONE",0,NA,0,"1G12","MULE DEER","2-10","ABORTED TAKEOFF",NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
118144,1997,2,3,"AAL","AMERICAN AIRLINES","MD-82","A","583","37",4,34,"10",2,"D","5",5,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","CLIMB","DAWN","NONE",1500,200,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115675,1997,2,15,"BUS","BUSINESS","C-172","A","226","7",1,10,"10",1,"A","7",NA,"",NA,"KTUS","TUCSON INTL","AZ","AWP","N","TAKEOFF RUN","DAY","NONE",0,20,0,"K5105","MERLIN","1","ABORTED TAKEOFF",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113861,1997,2,21,"1AWE","AMERICA WEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","","DESCENT","","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
