Height,Width,Galls
6.3,6.5,18
1.75,1.5,12
1.75,1.75,42
3.2,2.4,22
4,4.5,21
4.7,4.5,18
2.6,2.7,24
4.2,3.8,30
6.1,6,15
2.2,2.4,35
4.6,4.4,24
5.3,5,13
5.7,5.5,18
4.2,4.2,23
2.6,2.8,26
4.2,3.2,24
4,3.7,27
3,4.6,25
1.4,1.2,28
0.75,1,24
0.5,2.4,27
3.5,3.9,16
6.2,5.9,13
